,municipality,town_number,preliminary_live_birth_counts,preliminary_birth_rate,estimated_population,estimated_median_home_value,labor_force,unemployed,unemployment_rate,median_household_income,tfa_participants,snap_recipients,poverty_status,associate's_degree,bachelor's_degree_or_higher,high_school_diploma_ged_or_equivalent,less_than_high_school_diploma,some_college,percent_without_health_insurance,tfa_participants_rate,snap_recipients_rate,poverty_rate,est_population_above_25,higher_edu_perc,label,socioeconomic_status
0,Andover,1,21,6.5,3231,273300,1955,67,0.0342710997442455,101098,4.5,45,72,202,924,552,107,525,1.7,0.001392757660167131,0.013927576601671309,0.022284122562674095,2310,0.4,0,Middle
1,Ansonia,2,197,10.5,18721,211100,9293,526,0.0566017432476057,53540,155.5,1298,2720,1233,2605,5166,1583,2644,6.0,0.00830618022541531,0.0693339031034667,0.14529138400726457,13231,0.19688610082382285,1,Low
2,Ashford,3,41,9.6,4261,235400,2590,103,0.0397683397683398,68269,12.0,188,420,323,1056,843,232,737,4.8,0.002816240319173903,0.044121098333724476,0.0985684111710866,3191,0.3309307427138828,1,Low
3,Avon,4,138,7.5,18302,385100,9506,285,0.0299810645907848,132500,9.0,74,588,1056,8724,1301,314,1465,1.4,0.000491749535569883,0.0040432739591301494,0.03212763632389903,12860,0.6783825816485225,2,High
4,Barkhamsted,5,23,6.3,3624,258500,2329,93,0.0399313009875483,111071,4.0,29,84,276,1122,656,133,481,2.2,0.0011037527593818985,0.008002207505518763,0.023178807947019868,2668,0.4205397301349325,0,Middle
5,Beacon Falls,6,48,7.8,6182,253300,3536,133,0.0376131221719457,86842,18.0,113,211,455,1471,1264,269,723,5.5,0.0029116790682626984,0.018278874150760273,0.0341313490779683,4182,0.3517455762792922,0,Middle
6,Berlin,7,131,6.4,20432,284300,11872,414,0.0348719676549865,95996,50.0,331,772,1292,6154,4358,1322,2345,2.0,0.002447141738449491,0.01620007830853563,0.037783868441660144,15471,0.39777648503651997,0,Middle
7,Bethany,8,37,6.8,5479,352700,3126,104,0.0332693538067818,119653,3.5,53,171,337,1817,921,293,713,4.6,0.0006388027012228509,0.009673298047088885,0.031210074831173572,4081,0.4452340112717471,0,Middle
8,Bethel,9,195,9.9,19714,338800,10881,377,0.034647550776583,101473,30.5,570,561,950,6027,3196,776,2662,6.4,0.0015471238713604546,0.028913462513949478,0.028456934158466066,13611,0.4428036147233855,0,Middle
9,Bethlehem,10,21,6.1,3422,329600,1966,75,0.038148524923703,93750,3.0,80,211,156,1139,703,59,510,1.8,0.0008766803039158387,0.023378141437755698,0.061659848042080655,2567,0.44370860927152317,0,Middle
10,Bloomfield,11,176,8.3,21301,216800,11922,510,0.042778057372924,76952,133.0,1034,1336,1411,5845,4598,1616,2913,2.4,0.006243838317449885,0.04854232195671565,0.06272006009107553,16383,0.35677226393212474,0,Middle
11,Bolton,12,37,7.6,4890,287100,3189,89,0.0279084352461587,105417,5.0,106,230,267,1580,849,215,521,1.8,0.0010224948875255625,0.021676891615541923,0.04703476482617587,3432,0.4603729603729604,0,Middle
12,Bozrah,13,19,7.5,2537,229500,1450,56,0.0386206896551724,87109,8.5,79,99,172,560,737,102,302,2.9,0.0033504138746551044,0.031139140717382736,0.0390224674812771,1873,0.29898558462359853,0,Middle
13,Branford,14,213,7.6,28005,293900,16129,583,0.0361460722921446,80167,68.5,636,1703,1114,9615,6153,1087,3722,2.9,0.0024459917871808607,0.022710230316014997,0.06081056954115337,21691,0.4432714028859896,0,Middle
14,Bridgeport,15,1843,12.7,144900,173100,69676,4204,0.0603364142602905,45441,2055.0,13765,30316,5738,17191,31045,22072,17871,14.3,0.014182194616977225,0.09499654934437543,0.20922015182884748,93917,0.18304460321347574,1,Low
15,Bridgewater,16,6,3.7,1641,480300,836,27,0.0322966507177034,106429,1.5,18,42,76,772,252,53,202,1.6,0.0009140767824497258,0.010968921389396709,0.025594149908592323,1355,0.5697416974169742,0,Middle
16,Bristol,17,612,10.2,60032,195900,33221,1519,0.0457240901839198,66829,773.0,3815,6449,3979,11455,14672,4549,7939,4.5,0.012876465884861407,0.06354944029850747,0.10742603944562899,42594,0.2689345917265343,1,Low
17,Brookfield,18,156,9.2,17002,373800,9336,330,0.0353470437017995,107255,31.5,337,637,1159,5871,2205,622,1841,2.1,0.0018527232090342312,0.019821197506175742,0.0374661804493589,11698,0.5018806633612584,0,Middle
18,Brooklyn,19,84,10.1,8280,227800,4119,166,0.0403010439427045,72090,47.5,414,610,763,1496,1887,522,1529,2.7,0.005736714975845411,0.05,0.07367149758454106,6197,0.24140713248345974,1,Low
